kenteken,datum_tenaamstelling,merk,voertuigsoort,eerste_kleur,brandstof_omschrijving
90NPTZ,2004-01-15,VOLKSWAGEN,Personenauto,ZWART,Benzine
BY79TK,2004-01-07,DAF,Bus,N.v.t.,Diesel
19DXRJ,2004-02-07,VOLKSWAGEN,Personenauto,GRIJS,Benzine
52NSSH,2004-02-03,VOLVO,Personenauto,GRIJS,Benzine
MJTZ16,2004-02-07,YAMAHA,Motorfiets,N.v.t.,Benzine
93NNVH,2004-01-09,TOYOTA,Personenauto,BLAUW,Benzine
FY87LL,2004-02-07,VOLKSWAGEN,Personenauto,GEEL,Benzine
02LTZV,2004-02-13,PEUGEOT,Personenauto,GRIJS,Benzine
GN34ZY,2004-02-10,SAAB,Personenauto,BLAUW,Benzine
MN90YZ,2004-01-31,KAWASAKI,Motorfiets,N.v.t.,Benzine
65BLFN,2004-01-09,NISSAN,Bedrijfsauto,N.v.t.,Diesel
MT26FV,2004-01-09,KAWASAKI,Motorfiets,N.v.t.,Benzine
85NTDR,2004-02-13,MAZDA,Personenauto,GRIJS,Benzine
78GXGK,2004-02-11,TOYOTA,Personenauto,GRIJS,Benzine
65NPTJ,2004-01-09,TOYOTA,Personenauto,BLAUW,Benzine
SE9728,2004-01-08,SPARTA,Motorfiets,N.v.t.,Benzine
MP66KK,2004-02-14,HONDA,Motorfiets,N.v.t.,Benzine
72NTGF,2004-02-12,OPEL,Personenauto,ROOD,Benzine
MBBX24,2004-01-03,HONDA,Motorfiets,N.v.t.,Benzine
30HGSX,2004-01-02,RENAULT,Personenauto,ROOD,Benzine
77NSGS,2004-01-29,RENAULT,Personenauto,GRIJS,Benzine
56NRKR,2004-01-21,PEUGEOT,Personenauto,GRIJS,Benzine
AH8308,2004-01-27,AUSTIN,Personenauto,GROEN,Benzine
15NPDT,2004-01-05,PEUGEOT,Personenauto,GRIJS,Benzine
4524ML,2004-01-05,CITROEN,Personenauto,BRUIN,Benzine
HBPT61,2004-02-11,VOLKSWAGEN,Personenauto,BLAUW,Benzine
23GXDN,2004-01-02,BMW,Personenauto,ZWART,Benzine
JFNV66,2004-02-11,BMW,Personenauto,BLAUW,Benzine
70NJSF,2004-01-02,LANCIA,Personenauto,ROOD,Benzine
19NHTF,2004-01-15,OPEL,Personenauto,BLAUW,Benzine
MT75XG,2004-01-29,HONDA,Motorfiets,N.v.t.,Benzine
JT79LL,2004-01-23,FORD,Personenauto,BRUIN,Benzine
38LTRS,2004-01-07,TOYOTA,Personenauto,GRIJS,Benzine
14FBHJ,2004-02-05,RENAULT,Personenauto,GRIJS,Benzine
VZ0157,2004-01-10,BMW,Motorfiets,N.v.t.,Benzine
LPJS12,2004-01-12,MERCEDES-BENZ,Personenauto,ROOD,Diesel
18NNRN,2004-01-21,CITROEN,Personenauto,GROEN,Benzine
68NPLV,2004-01-16,TOYOTA,Personenauto,GRIJS,Benzine
26JSHL,2004-01-30,FORD,Personenauto,GRIJS,Benzine
BJTR14,2004-01-19,RENAULT,Bedrijfsauto,N.v.t.,Diesel
57NTDS,2004-02-12,CITROEN,Personenauto,ZWART,Benzine
MGVZ67,2004-01-02,HONDA,Motorfiets,N.v.t.,Benzine
74NSDF,2004-01-27,MITSUBISHI,Personenauto,GRIJS,Benzine
ZM1687,2004-01-15,KREIDLER,Motorfiets,N.v.t.,Benzine
MJTS54,2004-01-17,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
33NPZR,2004-01-16,OPEL,Personenauto,GRIJS,Benzine
GFTF85,2004-01-17,FIAT,Personenauto,ROOD,Benzine
75NNJH,2004-01-03,TOYOTA,Personenauto,BLAUW,Benzine
MF49YZ,2004-01-16,MZ,Motorfiets met zijspan,N.v.t.,Benzine
MK98PR,2004-01-03,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
15NSHN,2004-01-30,FORD,Personenauto,BLAUW,Benzine
MJTS73,2004-01-09,HONDA,Motorfiets,N.v.t.,Benzine
32NLVG,2004-01-08,PEUGEOT,Personenauto,GRIJS,Benzine
37NNXZ,2004-01-05,FORD,Personenauto,ZWART,Benzine
AL6294,2004-02-02,NEKAF,Personenauto,GROEN,Benzine
67NPFB,2004-01-14,RENAULT,Personenauto,GRIJS,Benzine
08NNKF,2004-01-06,TOYOTA,Personenauto,GRIJS,Benzine
21YA69,2004-01-31,CHEVROLET,Personenauto,GRIJS,Benzine/LPG
35BLLJ,2004-02-11,RENAULT,Bedrijfsauto,N.v.t.,Diesel
