kenteken,datum_tenaamstelling,merk,voertuigsoort,eerste_kleur,brandstof_omschrijving
33KHL9,2012-01-05,RENAULT,Personenauto,ROOD,Benzine
MS50YP,2012-01-09,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
90XNTT,2012-01-10,FORD,Personenauto,BLAUW,Benzine
54NPX5,2012-01-02,CITROEN,Personenauto,WIT,Benzine
56SKRX,2012-01-06,NISSAN,Personenauto,BRUIN,Benzine
19SPR6,2012-01-06,KIA,Personenauto,ZWART,Benzine
80PTV9,2012-01-10,FIAT,Personenauto,BLAUW,Benzine
19SXP4,2012-01-05,NISSAN,Personenauto,BRUIN,Benzine
55JNK5,2012-01-03,TOYOTA,Personenauto,GRIJS,Benzine/Elektriciteit
00TDV2,2012-01-07,RENAULT,Personenauto,ROOD,Benzine
8VSL91,2012-01-02,DODGE,Bedrijfsauto,N.v.t.,Benzine/LPG
68HJN2,2012-01-03,RENAULT,Personenauto,ZWART,Benzine
RGVR90,2012-01-07,MITSUBISHI,Personenauto,BLAUW,Benzine
18SZB6,2012-01-02,RENAULT,Personenauto,BLAUW,Benzine
11RVF2,2012-01-10,HYUNDAI,Personenauto,ZWART,Benzine
4VSP43,2012-01-06,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
31STL7,2012-01-05,RENAULT,Personenauto,BRUIN,Alcohol/Benzine/LPG
MHDT43,2012-01-07,BMW,Motorfiets,N.v.t.,Benzine
9VSK25,2012-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
19NZF4,2012-01-04,VOLKSWAGEN,Personenauto,GRIJS,Benzine
63RJG1,2012-01-09,FIAT,Personenauto,GRIJS,Benzine
46TBF3,2012-01-06,AUDI,Personenauto,WIT,Benzine
92TDB2,2012-01-04,OPEL,Personenauto,BLAUW,Benzine
30SZB6,2012-01-06,RENAULT,Personenauto,GRIJS,Diesel
29BPRN,2012-01-04,JEEP,Bedrijfsauto,N.v.t.,Diesel
10TNXG,2012-01-02,OPEL,Personenauto,ZWART,Benzine
35TDB5,2012-01-09,KIA,Personenauto,WIT,Benzine
22RHNJ,2012-01-10,VOLKSWAGEN,Personenauto,BLAUW,Benzine
66SZL3,2012-01-02,VOLKSWAGEN,Personenauto,ZWART,Benzine
89SPL9,2012-01-03,TOYOTA,Personenauto,GRIJS,Benzine
36XZBN,2012-01-06,PEUGEOT,Personenauto,ZWART,Benzine
62VXFD,2012-01-04,CITROEN,Bedrijfsauto,N.v.t.,Diesel
32XKNG,2012-01-04,PEUGEOT,Personenauto,GRIJS,Benzine
5VSX61,2012-01-09,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
94TFP2,2012-01-06,HYMER,Personenauto,WIT,Diesel
31KXD8,2012-01-06,OPEL,Personenauto,GRIJS,Benzine
70TBP9,2012-01-03,VOLKSWAGEN,Personenauto,ROOD,Diesel
27TKDF,2012-01-02,HYUNDAI,Personenauto,BLAUW,Benzine
51SRN1,2012-01-10,FORD,Personenauto,ZWART,Benzine
80LRN6,2012-01-07,FIAT,Personenauto,WIT,Benzine
91SXB4,2012-01-02,MERCEDES-BENZ,Personenauto,WIT,Benzine
46PTDV,2012-01-09,TOYOTA,Personenauto,GRIJS,Benzine
8VST53,2012-01-04,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
61NRP3,2012-01-05,OPEL,Personenauto,GRIJS,Benzine
83ZBPP,2012-01-03,TOYOTA,Personenauto,GRIJS,Benzine
8VST17,2012-01-03,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
21GVH9,2012-01-04,VOLKSWAGEN,Personenauto,ZWART,Benzine
67TFN1,2012-01-11,SUZUKI,Personenauto,BRUIN,Benzine
F613FF,2012-01-06,SYM,Bromfiets,N.v.t.,Benzine
3VSR78,2012-01-03,CITROEN,Bedrijfsauto,N.v.t.,Diesel
61TBK3,2012-01-02,RENAULT,Personenauto,BLAUW,Benzine
08TBD4,2012-01-04,HYUNDAI,Personenauto,ZWART,Benzine
96NZHZ,2012-01-02,VOLVO,Personenauto,GRIJS,Benzine
86VZVX,2012-01-02,TOYOTA,Bedrijfsauto,N.v.t.,Diesel
16SZP8,2012-01-03,RENAULT,Personenauto,GEEL,Benzine
42SZX1,2012-01-02,SUZUKI,Personenauto,ZWART,Benzine
94SZL2,2012-01-03,VOLKSWAGEN,Personenauto,GRIJS,Benzine
94ZSJS,2012-01-09,TOYOTA,Personenauto,ZWART,Benzine
1VSP71,2012-01-06,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
09GFT9,2012-01-05,SAAB,Personenauto,BLAUW,Benzine
F804GL,2012-01-05,SOLEX,Bromfiets,N.v.t.,Benzine
88RFT7,2012-01-03,CHEVROLET,Personenauto,GRIJS,Benzine
72TBG5,2012-01-06,AUDI,Personenauto,BRUIN,Benzine
BNNV63,2012-01-05,DAF,Bedrijfsauto,N.v.t.,Diesel
07SXN3,2012-01-03,MITSUBISHI,Personenauto,BRUIN,Benzine
MSVP91,2012-01-07,SUZUKI,Motorfiets,N.v.t.,Benzine
11TFN1,2012-01-10,FORD,Personenauto,BLAUW,Benzine
63SZH8,2012-01-06,FORD,Personenauto,WIT,Benzine
43RKB9,2012-01-05,SUBARU,Personenauto,BLAUW,Benzine
06TFD8,2012-01-06,OPEL,Personenauto,GRIJS,Benzine
6VST00,2012-01-05,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
MXLG92,2012-01-10,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
84SXP8,2012-01-05,DACIA,Personenauto,BLAUW,Benzine
88SZR9,2012-01-02,PEUGEOT,Personenauto,ZWART,Benzine
59PJR6,2012-01-07,RENAULT,Personenauto,BLAUW,Benzine
69TBJ8,2012-01-11,PEUGEOT,Personenauto,ZWART,Benzine
82TBP9,2012-01-03,VOLKSWAGEN,Personenauto,WIT,Diesel
60SZJ9,2012-01-04,OPEL,Personenauto,GRIJS,Benzine
60TBZ6,2012-01-07,FORD,Personenauto,ROOD,Benzine
03TDH8,2012-01-06,PEUGEOT,Personenauto,WIT,Benzine
38ZNVH,2012-01-04,OPEL,Personenauto,GRIJS,Benzine
50TDH4,2012-01-06,CHEVROLET,Personenauto,BRUIN,Benzine
01STZ9,2012-01-10,CITROEN,Personenauto,BLAUW,Benzine
49TFK3,2012-01-11,MITSUBISHI,Personenauto,GRIJS,Benzine
60LSSN,2012-01-11,MITSUBISHI,Personenauto,GRIJS,Benzine
04ZLSH,2012-01-06,OPEL,Personenauto,BLAUW,Benzine
4VSL71,2012-01-06,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
99DXT3,2012-01-03,PIAGGIO,Bromfiets,N.v.t.,Benzine
21YB32,2012-01-09,MG,Personenauto,ROOD,Benzine
68MBGP,2012-01-07,YAMAHA,Motorfiets,N.v.t.,Benzine
57TBR8,2012-01-10,VOLKSWAGEN,Personenauto,GRIJS,Diesel
0073XF,2012-01-03,VOLKSWAGEN,Personenauto,BLAUW,Benzine
00TBT6,2012-01-06,VOLKSWAGEN,Personenauto,BEIGE,Benzine
61SZL5,2012-01-05,VOLKSWAGEN,Personenauto,GRIJS,Benzine
05SZX3,2012-01-05,SUZUKI,Personenauto,BRUIN,Benzine
92VGJ6,2012-01-03,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
D642BT,2012-01-06,KEEWAY,Bromfiets,N.v.t.,Benzine
92SXN3,2012-01-07,KIA,Personenauto,ZWART,Benzine
42TBV2,2012-01-06,KIA,Personenauto,BEIGE,Benzine
MPJV93,2012-01-04,SUZUKI,Motorfiets,N.v.t.,Benzine
94TBH9,2012-01-10,PEUGEOT,Personenauto,ZWART,Benzine
00SZV9,2012-01-06,SUZUKI,Personenauto,ZWART,Benzine
60SZX1,2012-01-07,SUZUKI,Personenauto,GRIJS,Benzine
87SZF4,2012-01-06,SUZUKI,Personenauto,GRIJS,Benzine
57HZZ4,2012-01-02,TOYOTA,Personenauto,BLAUW,Benzine/Elektriciteit
81TBV4,2012-01-03,HONDA,Personenauto,GRIJS,Benzine/Elektriciteit
96SXS9,2012-01-04,FORD,Personenauto,BLAUW,Benzine
89FGT1,2012-01-02,HAINAN SUNDIRO,Bromfiets,N.v.t.,Benzine
54HDG1,2012-01-07,PEUGEOT,Personenauto,ZWART,Benzine
49TFG7,2012-01-09,SKODA,Personenauto,GRIJS,Diesel
BRBR63,2012-01-02,VOLVO,Bedrijfsauto,N.v.t.,Diesel
16FHF2,2012-01-06,PEUGEOT,Bromfiets,N.v.t.,Benzine
54STB7,2012-01-11,SEAT,Personenauto,ZWART,Diesel
XHZD76,2012-01-05,MINI,Personenauto,GROEN,Benzine
D643FS,2012-01-03,YAMAHA,Bromfiets,N.v.t.,Benzine
84TDF4,2012-01-04,CHEVROLET,Personenauto,ZWART,Benzine
04SRP3,2012-01-10,KIA,Personenauto,ZWART,Benzine
VDLZ68,2012-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
10SNT8,2012-01-03,HYUNDAI,Personenauto,GRIJS,Benzine
MDVS83,2012-01-05,YAMAHA,Motorfiets,N.v.t.,Benzine
94SZK7,2012-01-06,VOLKSWAGEN,Personenauto,ZWART,Benzine
64JJJ8,2012-01-05,PEUGEOT,Personenauto,GRIJS,Benzine
GHTL49,2012-01-10,TOYOTA,Personenauto,GROEN,Benzine
77XSLD,2012-01-07,VOLKSWAGEN,Personenauto,GROEN,Benzine
47TFL1,2012-01-11,VOLKSWAGEN,Personenauto,GRIJS,Benzine
82LDVZ,2012-01-02,OPEL,Personenauto,ZWART,Benzine
JP66NF,2012-01-07,BMW,Personenauto,GROEN,Benzine
95FGX4,2012-01-04,TOMOS,Bromfiets,N.v.t.,Benzine
04SZX2,2012-01-03,SUZUKI,Personenauto,GRIJS,Benzine
DG008H,2012-01-05,PUCH,Bromfiets,N.v.t.,Benzine
88RXN7,2012-01-05,KIA,Personenauto,GRIJS,Benzine
18SXX4,2012-01-02,VOLKSWAGEN,Personenauto,BRUIN,Benzine
69KPB6,2012-01-09,VOLKSWAGEN,Personenauto,GRIJS,Benzine
14SZS2,2012-01-05,PEUGEOT,Personenauto,BLAUW,Benzine
04SXN3,2012-01-09,MITSUBISHI,Personenauto,WIT,Benzine
40TBR7,2012-01-11,VOLKSWAGEN,Personenauto,BLAUW,Diesel
17STN4,2012-01-10,HYMER,Personenauto,WIT,Diesel
80JSJR,2012-01-10,CITROEN,Personenauto,GRIJS,Benzine
57TFK6,2012-01-10,VOLKSWAGEN,Personenauto,GRIJS,Benzine
35TBP1,2012-01-05,VOLKSWAGEN,Personenauto,ZWART,Benzine
97SXF9,2012-01-02,MITSUBISHI,Personenauto,GRIJS,Benzine
46XJLH,2012-01-04,RENAULT,Personenauto,GRIJS,Benzine
00TFK1,2012-01-07,OPEL,Personenauto,GROEN,Benzine
65SZR8,2012-01-03,CITROEN,Personenauto,GRIJS,Benzine
90LFF6,2012-01-06,VOLKSWAGEN,Personenauto,GRIJS,Benzine
82SZX2,2012-01-09,SUZUKI,Personenauto,ZWART,Benzine
52ZBDP,2012-01-11,SUZUKI,Personenauto,ZWART,Benzine
MGLB61,2012-01-06,YAMAHA,Motorfiets,N.v.t.,Benzine
43PZXF,2012-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
57FGX7,2012-01-07,PEUGEOT,Bromfiets,N.v.t.,Benzine
34TDK8,2012-01-07,MINI,Personenauto,ZWART,Benzine
BPFZ01,2012-01-05,DAF,Bedrijfsauto,N.v.t.,Diesel
71SXL1,2012-01-06,HYUNDAI,Personenauto,GRIJS,Benzine
89TBV5,2012-01-10,ADRIA MOBIL,Personenauto,WIT,Diesel
69PLPD,2012-01-06,OPEL,Personenauto,GRIJS,Benzine
53JTH7,2012-01-06,FIAT,Personenauto,ZWART,Benzine
82YB24,2012-01-11,MERCEDES-BENZ,Personenauto,ORANJE,Benzine
25JFF5,2012-01-07,TOYOTA,Personenauto,ZWART,Benzine
PY39FR,2012-01-04,OLDSMOBILE,Personenauto,GROEN,LPG
42VTG3,2012-01-06,TOYOTA,Bedrijfsauto,N.v.t.,Diesel
04JXGR,2012-01-07,OPEL,Personenauto,GRIJS,Benzine
68SRP2,2012-01-05,KIA,Personenauto,BEIGE,Benzine
30LDSX,2012-01-11,OPEL,Personenauto,GRIJS,Benzine
4VRJ06,2012-01-03,RENAULT,Bedrijfsauto,N.v.t.,Diesel
46DDZ9,2012-01-06,GILERA,Bromfiets,N.v.t.,Benzine
72TBH4,2012-01-04,HONDA,Personenauto,GRIJS,Benzine/Elektriciteit
AH7361,2012-01-07,MERCEDES-BENZ,Personenauto,ROOD,Benzine
F793GH,2012-01-02,PIAGGIO,Bromfiets,N.v.t.,Benzine
79GTF1,2012-01-06,OPEL,Personenauto,ROOD,Benzine
7VSX87,2012-01-10,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
27TDS9,2012-01-05,SKODA,Personenauto,GRIJS,Diesel
07SXX1,2012-01-04,KIA,Personenauto,GRIJS,Benzine
66LGR5,2012-01-04,PEUGEOT,Personenauto,BLAUW,Benzine
DT464R,2012-01-07,PEUGEOT,Bromfiets,N.v.t.,Benzine
4VSP43,2012-01-06,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
D752VN,2012-01-05,ZNEN,Bromfiets,N.v.t.,Benzine
38SZD1,2012-01-02,CITROEN,Personenauto,ZWART,Benzine
47HNT4,2012-01-04,FORD,Personenauto,WIT,Benzine
5VSL56,2012-01-04,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
36BK03,2012-01-06,MINI,Personenauto,ROOD,Benzine
06SXD1,2012-01-04,TOYOTA,Personenauto,ROOD,Benzine
82SPV8,2012-01-04,FIAT,Personenauto,ZWART,Diesel
MHXX67,2012-01-11,KTM,Motorfiets,N.v.t.,Benzine
72TDN6,2012-01-06,TOYOTA,Personenauto,GRIJS,Benzine
74SZR3,2012-01-05,RENAULT,Personenauto,BRUIN,Diesel
2VSN06,2012-01-02,IVECO,Bedrijfsauto,N.v.t.,Diesel
02TFL5,2012-01-11,RENAULT,Personenauto,GEEL,Benzine
13TBB2,2012-01-05,HYUNDAI,Personenauto,GRIJS,Benzine
34SVB7,2012-01-07,KIA,Personenauto,ROOD,Benzine
57SJN8,2012-01-03,PEUGEOT,Personenauto,GRIJS,Benzine
5VSR75,2012-01-06,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
99SXH9,2012-01-05,KIA,Personenauto,GRIJS,Benzine
SL81KV,2012-01-07,MERCEDES-BENZ,Personenauto,WIT,Diesel
MVPZ70,2012-01-06,DUCATI,Motorfiets,N.v.t.,Benzine
18TDK5,2012-01-10,BMW,Personenauto,ZWART,Benzine
BE3836,2012-01-06,FORD,Bedrijfsauto,N.v.t.,Benzine/LPG
65SVF9,2012-01-02,KIA,Personenauto,GRIJS,Benzine
47MBGH,2012-01-05,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
71NPJ2,2012-01-03,SUZUKI,Personenauto,GRIJS,Benzine
MV78TY,2012-01-09,YAMAHA,Motorfiets,N.v.t.,Benzine
83TBJ4,2012-01-07,NISSAN,Personenauto,ZWART,Benzine
3VRN41,2012-01-06,PEUGEOT,Bedrijfsauto,N.v.t.,Diesel
63STT8,2012-01-05,PEUGEOT,Personenauto,ZWART,Benzine
24XLPD,2012-01-02,AUDI,Personenauto,ZWART,Benzine
MLNT16,2012-01-02,YAMAHA,Motorfiets,N.v.t.,Benzine
85SXG1,2012-01-04,SEAT,Personenauto,ZWART,Benzine
7VSR94,2012-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
58FTZ7,2012-01-06,ERAD,Bromfiets,N.v.t.,Diesel
04SXL7,2012-01-11,SUZUKI,Personenauto,ROOD,Benzine
70TDG5,2012-01-07,KIA,Personenauto,BLAUW,Benzine
75XDBH,2012-01-10,CITROEN,Personenauto,GRIJS,Benzine
BXRZ01,2012-01-02,DAF,Bedrijfsauto,N.v.t.,Diesel
54TFP3,2012-01-06,BMW,Personenauto,GEEL,Benzine
91RJFL,2012-01-02,PORSCHE,Personenauto,BLAUW,Benzine
VX58VG,2012-01-07,SUZUKI,Bedrijfsauto,N.v.t.,Benzine
11TBJ5,2012-01-09,NISSAN,Personenauto,GRIJS,Benzine
36SXL2,2012-01-03,HYUNDAI,Personenauto,WIT,Benzine
SZ77VK,2012-01-02,FIAT,Personenauto,BLAUW,Benzine
99SJH8,2012-01-06,CHEVROLET,Personenauto,ROOD,Benzine/LPG
32HVFP,2012-01-02,VOLKSWAGEN,Personenauto,ZWART,Benzine
49SXD1,2012-01-04,TOYOTA,Personenauto,ZWART,Benzine
MV65PL,2012-01-06,HONDA,Motorfiets,N.v.t.,Benzine
09TDZ8,2012-01-10,VOLKSWAGEN,Personenauto,BLAUW,Benzine
71NRHF,2012-01-04,SKODA,Personenauto,GRIJS,Benzine
11TBD8,2012-01-02,AUDI,Personenauto,GRIJS,Diesel
64DHJ9,2012-01-02,BENELLI,Bromfiets,N.v.t.,Benzine
AR3536,2012-01-09,TRABANT,Personenauto,BLAUW,Benzine
LX88BS,2012-01-07,PORSCHE,Personenauto,GRIJS,Benzine
81TBP2,2012-01-03,VOLKSWAGEN,Personenauto,WIT,Benzine
37TBZ9,2012-01-10,SUZUKI,Personenauto,BLAUW,Benzine
31RVF2,2012-01-06,HYUNDAI,Personenauto,GRIJS,Benzine
93TBK7,2012-01-03,CITROEN,Personenauto,ROOD,Diesel
08ZJHX,2012-01-03,VOLKSWAGEN,Personenauto,ZWART,Benzine
F344GB,2012-01-02,PIAGGIO,Bromfiets,N.v.t.,Benzine
07SZV9,2012-01-06,SUZUKI,Personenauto,ROOD,Benzine
BN29GG,2012-01-06,VOLVO,Bedrijfsauto,N.v.t.,Diesel
TZ73HZ,2012-01-05,VOLVO,Personenauto,GRIJS,Benzine
78SZL2,2012-01-03,VOLKSWAGEN,Personenauto,GRIJS,Benzine
81SXT1,2012-01-05,FORD,Personenauto,ZWART,Benzine
4VSV87,2012-01-06,HYUNDAI,Bedrijfsauto,N.v.t.,Diesel
93TBJ3,2012-01-06,MITSUBISHI,Personenauto,WIT,Benzine
72TDG2,2012-01-10,SUZUKI,Personenauto,BRUIN,Benzine
80SZJ9,2012-01-07,OPEL,Personenauto,BLAUW,Benzine
81SZR2,2012-01-06,RENAULT,Personenauto,ROOD,Benzine
44PZF9,2012-01-06,RENAULT,Personenauto,ZWART,Diesel
99TFP2,2012-01-06,BMW,Personenauto,GRIJS,Benzine
45SNR3,2012-01-06,FORD,Personenauto,GRIJS,Benzine
FD389D,2012-01-10,VESPA,Bromfiets,N.v.t.,Benzine
03SZZ7,2012-01-06,HYUNDAI,Personenauto,WIT,Benzine
4VSV13,2012-01-02,CHEVROLET,Bedrijfsauto,N.v.t.,Benzine
F219GN,2012-01-09,CIAO,Bromfiets,N.v.t.,Benzine
97TFS9,2012-01-09,MITSUBISHI,Personenauto,GRIJS,Benzine
88LSN3,2012-01-06,FORD,Personenauto,PAARS,Benzine
40TFH2,2012-01-10,NISSAN,Personenauto,ROOD,Benzine
42SXZ7,2012-01-10,NISSAN,Personenauto,PAARS,Benzine
53TDX2,2012-01-11,CITROEN,Personenauto,ZWART,Benzine
05SZX1,2012-01-09,SUZUKI,Personenauto,GRIJS,Benzine
61SVR7,2012-01-09,BMW,Personenauto,WIT,Benzine
61SZX1,2012-01-06,SUZUKI,Personenauto,GRIJS,Benzine
2VSL00,2012-01-11,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
5VST98,2012-01-06,MERCEDES-BENZ,Bedrijfsauto,N.v.t.,Diesel
7VSV94,2012-01-07,RENAULT,Bedrijfsauto,N.v.t.,Diesel
63TFH4,2012-01-07,RENAULT,Personenauto,ZWART,Benzine
74RRJD,2012-01-05,HYUNDAI,Personenauto,ZWART,Benzine
01SZX3,2012-01-06,SUZUKI,Personenauto,WIT,Benzine
DL1617,2012-01-05,AUSTIN,Personenauto,GROEN,Benzine
MRZZ45,2012-01-04,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
27SLHH,2012-01-06,HYUNDAI,Personenauto,GRIJS,Benzine
81HSJ8,2012-01-07,BMW,Personenauto,ZWART,Diesel
43RGD5,2012-01-05,VOLKSWAGEN,Personenauto,ZWART,Benzine
35FND9,2012-01-03,VESPA,Bromfiets,N.v.t.,Benzine
41TDT3,2012-01-06,KIA,Personenauto,WIT,Benzine
97HFF8,2012-01-06,VOLVO,Personenauto,GRIJS,Diesel
ZF6787,2012-01-02,SUZUKI,Motorfiets,N.v.t.,Benzine
57SXK5,2012-01-09,CITROEN,Personenauto,ZWART,Benzine
08SZB7,2012-01-02,RENAULT,Personenauto,ZWART,Benzine
85TBP2,2012-01-02,VOLKSWAGEN,Personenauto,WIT,Benzine
69ZNXP,2012-01-07,HONDA,Personenauto,GRIJS,Benzine/Elektriciteit
65TFJ1,2012-01-09,FORD,Personenauto,ZWART,Benzine
14STS5,2012-01-06,KIA,Personenauto,GRIJS,Benzine
D256XR,2012-01-07,HONDA,Bromfiets,N.v.t.,Benzine
39ZBRF,2012-01-11,TOYOTA,Personenauto,GRIJS,Benzine
3VSK10,2012-01-02,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
79SZZ1,2012-01-02,OPEL,Personenauto,GRIJS,Benzine
DV709R,2012-01-10,VESPA,Bromfiets,N.v.t.,Benzine
39SZV9,2012-01-05,SUZUKI,Personenauto,GRIJS,Benzine
43SFS4,2012-01-07,VOLKSWAGEN,Personenauto,BLAUW,Benzine
FD868P,2012-01-09,KORADO,Bromfiets,N.v.t.,Benzine
MH03PJ,2012-01-07,EIGENBOUW,Motorfiets,N.v.t.,Benzine
VR4336,2012-01-02,HONDA,Motorfiets,N.v.t.,Benzine
40TBT7,2012-01-02,VOLKSWAGEN,Personenauto,ZWART,Benzine
14LPN8,2012-01-04,OPEL,Personenauto,ZWART,Benzine
65KFS9,2012-01-04,FORD,Personenauto,GRIJS,Benzine
MNLB11,2012-01-06,YAMAHA,Motorfiets,N.v.t.,Benzine
65FHGD,2012-01-09,TOYOTA,Personenauto,GROEN,Benzine
92STF9,2012-01-02,KIA,Personenauto,ZWART,Benzine
12TKRJ,2012-01-09,RENAULT,Personenauto,GRIJS,Benzine
93PHNG,2012-01-07,OPEL,Personenauto,GRIJS,Benzine
96TBX9,2012-01-05,RENAULT,Personenauto,WIT,Benzine
60HRB2,2012-01-10,VOLVO,Personenauto,GRIJS,Benzine
D212RL,2012-01-04,PEUGEOT,Bromfiets,N.v.t.,Benzine
05NNPG,2012-01-10,MAZDA,Personenauto,ORANJE,Benzine
16XLLK,2012-01-09,DACIA,Personenauto,BLAUW,Benzine
68MBGD,2012-01-02,HONDA,Motorfiets,N.v.t.,Benzine
D873VT,2012-01-07,SANTINI,Bromfiets,N.v.t.,Benzine
SNRB53,2012-01-06,FORD,Personenauto,ROOD,Benzine
41RXXK,2012-01-03,FORD,Personenauto,BLAUW,Benzine
41TDT8,2012-01-02,CHEVROLET,Personenauto,ROOD,Benzine
F178FZ,2012-01-03,SYM,Bromfiets,N.v.t.,Benzine
4VSB76,2012-01-09,MITSUBISHI,Bedrijfsauto,N.v.t.,Diesel
50NLN1,2012-01-09,RENAULT,Personenauto,BLAUW,Benzine
KB46TL,2012-01-06,VOLKSWAGEN,Personenauto,BEIGE,Benzine
83NZFP,2012-01-02,PEUGEOT,Personenauto,ZWART,Benzine
1VSR98,2012-01-06,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
41TBX5,2012-01-09,CHEVROLET,Personenauto,GRIJS,Benzine/LPG
11RDFG,2012-01-09,NISSAN,Personenauto,GRIJS,Benzine
FZ525F,2012-01-09,PIAGGIO,Bromfiets,N.v.t.,Benzine
46TBN3,2012-01-04,OPEL,Personenauto,BLAUW,Benzine
61SZK8,2012-01-06,VOLKSWAGEN,Personenauto,GRIJS,Benzine
92LRJ5,2012-01-06,OPEL,Personenauto,GRIJS,Benzine
5VPJ99,2012-01-04,VOLKSWAGEN,Bedrijfsauto,N.v.t.,Diesel
AR3460,2012-01-09,MG,Personenauto,GRIJS,Benzine
DZ698F,2012-01-09,BATAVUS,Bromfiets,N.v.t.,Benzine
82YB10,2012-01-07,SAAB,Personenauto,GROEN,Benzine
67TBB4,2012-01-09,HYUNDAI,Personenauto,WIT,Benzine
87TBH5,2012-01-04,MORGAN,Personenauto,GROEN,Benzine
MXRH92,2012-01-10,HARLEY DAVIDSON,Motorfiets,N.v.t.,Benzine
29SZK8,2012-01-10,VOLKSWAGEN,Personenauto,GRIJS,Benzine
14SXH7,2012-01-04,OPEL,Personenauto,GRIJS,Benzine
31SZL1,2012-01-02,VOLKSWAGEN,Personenauto,GRIJS,Benzine
13TBP3,2012-01-03,VOLKSWAGEN,Personenauto,GRIJS,Benzine
64FNT8,2012-01-07,APRILIA,Bromfiets,N.v.t.,Benzine
93ZFTG,2012-01-04,VOLVO,Personenauto,GRIJS,Benzine
22FZDD,2012-01-03,TOYOTA,Personenauto,BLAUW,Benzine
54SZD4,2012-01-06,PEUGEOT,Personenauto,BLAUW,Benzine
F623DV,2012-01-05,PIAGGIO,Bromfiets,N.v.t.,Benzine
41NTRR,2012-01-06,OPEL,Personenauto,GRIJS,Benzine
69SRT8,2012-01-03,TOYOTA,Personenauto,GRIJS,Benzine
RJNB46,2012-01-06,TOYOTA,Personenauto,BLAUW,Benzine
61TFP3,2012-01-06,BMW,Personenauto,ZWART,Benzine
46SZF5,2012-01-02,SUZUKI,Personenauto,GRIJS,Benzine
91SVP2,2012-01-02,KIA,Personenauto,BRUIN,Benzine
46LKV8,2012-01-06,HYUNDAI,Personenauto,GRIJS,Benzine
94MBGP,2012-01-04,PUCH,Motorfiets,N.v.t.,Benzine
AR3505,2012-01-03,TOYOTA,Personenauto,ROOD,Diesel
11TFK8,2012-01-10,VOLKSWAGEN,Personenauto,GRIJS,Diesel
99SXV2,2012-01-10,TOYOTA,Personenauto,GRIJS,Benzine
48DPX1,2012-01-06,PUCH,Bromfiets,N.v.t.,Benzine
45TXRD,2012-01-06,FORD,Personenauto,GRIJS,Benzine
47VKJ5,2012-01-03,IVECO,Bedrijfsauto,N.v.t.,Diesel
51SRKB,2012-01-02,NISSAN,Personenauto,ZWART,Benzine
83RPN3,2012-01-07,VOLVO,Personenauto,ZWART,Diesel
08SHG3,2012-01-06,HONDA,Personenauto,ZWART,Benzine/Elektriciteit
06TFS8,2012-01-11,SKODA,Personenauto,ZWART,Diesel
22RZHV,2012-01-06,CHEVROLET,Personenauto,BLAUW,Benzine
01TFK1,2012-01-10,OPEL,Personenauto,GRIJS,Benzine
26FDT1,2012-01-09,TOMOS,Bromfiets,N.v.t.,Benzine
ZLLH86,2012-01-10,OPEL,Personenauto,GROEN,Benzine
17RXHN,2012-01-10,PEUGEOT,Personenauto,BLAUW,Benzine
86TBP5,2012-01-06,AUDI,Personenauto,GRIJS,Benzine
07LTX6,2012-01-05,CITROEN,Personenauto,GRIJS,Benzine
78TDT7,2012-01-02,VOLVO,Personenauto,GROEN,Benzine
30SZR1,2012-01-03,RENAULT,Personenauto,ZWART,Benzine
05TDK8,2012-01-07,MINI,Personenauto,BLAUW,Benzine
81SZV8,2012-01-02,SUZUKI,Personenauto,ZWART,Benzine
83HVK2,2012-01-09,NISSAN,Personenauto,GRIJS,Benzine
26SXZ1,2012-01-09,SEAT,Personenauto,ZWART,Diesel
HVLS55,2012-01-11,CHEVROLET,Personenauto,BRUIN,Diesel
HBST46,2012-01-03,TOYOTA,Personenauto,GROEN,Benzine
0105RD,2012-01-07,PEUGEOT,Personenauto,GROEN,Benzine
